Time of transition,PID,Old State,New State
0,1001,NEW,READY
0,1001,READY,RUNNING
10,1001,RUNNING,WAITING
10,1002,NEW,READY
10,1002,READY,RUNNING
15,1002,RUNNING,WAITING
15,1003,NEW,READY
15,1003,READY,RUNNING
20,1003,RUNNING,WAITING
40,1001,WAITING,READY
40,1001,READY,RUNNING
50,1001,RUNNING,WAITING
60,1003,WAITING,READY
60,1003,READY,RUNNING
65,1003,RUNNING,WAITING
65,1002,WAITING,READY
65,1002,READY,RUNNING
70,1002,RUNNING,WAITING
80,1001,WAITING,READY
80,1001,READY,RUNNING
90,1001,RUNNING,TERMINATED
105,1003,WAITING,READY
105,1003,READY,RUNNING
110,1003,RUNNING,WAITING
120,1002,WAITING,READY
120,1002,READY,RUNNING
125,1002,RUNNING,WAITING
150,1003,WAITING,READY
150,1003,READY,RUNNING
155,1003,RUNNING,TERMINATED
175,1002,WAITING,READY
175,1002,READY,RUNNING
180,1002,RUNNING,TERMINATED
