Time of transition,PID,Old State,New State
0,1001,NEW,READY
0,1001,READY,RUNNING
5,1001,RUNNING,WAITING
10,1002,NEW,READY
10,1002,READY,RUNNING
15,1003,NEW,READY
20,1002,RUNNING,WAITING
20,1003,READY,RUNNING
25,1003,RUNNING,WAITING
25,1001,WAITING,READY
25,1002,WAITING,READY
25,1001,READY,RUNNING
30,1001,RUNNING,WAITING
30,1002,READY,RUNNING
35,1003,WAITING,READY
40,1002,RUNNING,WAITING
40,1003,READY,RUNNING
45,1003,RUNNING,WAITING
45,1002,WAITING,READY
45,1002,READY,RUNNING
50,1001,WAITING,READY
55,1002,RUNNING,TERMINATED
55,1003,WAITING,READY
55,1001,READY,RUNNING
60,1001,RUNNING,WAITING
60,1003,READY,RUNNING
65,1003,RUNNING,WAITING
75,1003,WAITING,READY
75,1003,READY,RUNNING
80,1003,RUNNING,WAITING
80,1001,WAITING,READY
80,1001,READY,RUNNING
85,1001,RUNNING,WAITING
90,1003,WAITING,READY
90,1003,READY,RUNNING
95,1003,RUNNING,WAITING
105,1001,WAITING,READY
105,1003,WAITING,READY
105,1001,READY,RUNNING
110,1001,RUNNING,WAITING
110,1003,READY,RUNNING
115,1003,RUNNING,WAITING
125,1003,WAITING,READY
125,1003,READY,RUNNING
130,1003,RUNNING,WAITING
130,1001,WAITING,READY
130,1001,READY,RUNNING
135,1001,RUNNING,WAITING
140,1003,WAITING,READY
140,1003,READY,RUNNING
145,1003,RUNNING,WAITING
155,1001,WAITING,READY
155,1003,WAITING,READY
155,1001,READY,RUNNING
160,1001,RUNNING,WAITING
160,1003,READY,RUNNING
165,1003,RUNNING,WAITING
175,1003,WAITING,READY
175,1003,READY,RUNNING
180,1003,RUNNING,TERMINATED
180,1001,WAITING,READY
180,1001,READY,RUNNING
185,1001,RUNNING,TERMINATED
