Time of transition,PID,Old State,New State
0,1001,NEW,READY
0,1001,READY,RUNNING
5,1002,NEW,READY
10,1003,NEW,READY
30,1001,RUNNING,TERMINATED
30,1003,READY,RUNNING
40,1003,RUNNING,WAITING
40,1002,READY,RUNNING
45,1002,RUNNING,WAITING
45,1003,WAITING,READY
45,1003,READY,RUNNING
55,1003,RUNNING,WAITING
60,1003,WAITING,READY
60,1003,READY,RUNNING
70,1003,RUNNING,WAITING
75,1003,WAITING,READY
75,1003,READY,RUNNING
85,1003,RUNNING,WAITING
85,1002,WAITING,READY
85,1002,READY,RUNNING
90,1002,RUNNING,WAITING
90,1003,WAITING,READY
90,1003,READY,RUNNING
100,1003,RUNNING,WAITING
105,1003,WAITING,READY
105,1003,READY,RUNNING
115,1003,RUNNING,TERMINATED
130,1002,WAITING,READY
130,1002,READY,RUNNING
135,1002,RUNNING,WAITING
175,1002,WAITING,READY
175,1002,READY,RUNNING
180,1002,RUNNING,TERMINATED
