Time of transition,PID,Old State,New State
0,1001,NEW,READY
0,1001,READY,RUNNING
5,1002,NEW,READY
10,1001,RUNNING,WAITING
10,1003,NEW,READY
10,1002,READY,RUNNING
15,1002,RUNNING,WAITING
15,1003,READY,RUNNING
23,1003,RUNNING,WAITING
35,1002,WAITING,READY
35,1002,READY,RUNNING
40,1002,RUNNING,WAITING
40,1001,WAITING,READY
40,1001,READY,RUNNING
50,1001,RUNNING,WAITING
60,1002,WAITING,READY
60,1002,READY,RUNNING
63,1003,WAITING,READY
65,1002,RUNNING,WAITING
65,1003,READY,RUNNING
73,1003,RUNNING,WAITING
80,1001,WAITING,READY
80,1001,READY,RUNNING
85,1002,WAITING,READY
90,1001,RUNNING,TERMINATED
90,1002,READY,RUNNING
95,1002,RUNNING,WAITING
113,1003,WAITING,READY
113,1003,READY,RUNNING
115,1002,WAITING,READY
117,1003,RUNNING,TERMINATED
117,1002,READY,RUNNING
122,1002,RUNNING,WAITING
142,1002,WAITING,READY
142,1002,READY,RUNNING
147,1002,RUNNING,WAITING
167,1002,WAITING,READY
167,1002,READY,RUNNING
172,1002,RUNNING,WAITING
192,1002,WAITING,READY
192,1002,READY,RUNNING
197,1002,RUNNING,TERMINATED
