Time of transition,PID,Old State,New State
0,1001,NEW,READY
0,1001,READY,RUNNING
1,1001,RUNNING,READY
1,1001,READY,RUNNING
2,1001,RUNNING,READY
2,1001,READY,RUNNING
3,1001,RUNNING,READY
3,1001,READY,RUNNING
4,1001,RUNNING,READY
4,1001,READY,RUNNING
5,1001,RUNNING,READY
5,1002,NEW,READY
5,1001,READY,RUNNING
6,1001,RUNNING,READY
6,1002,READY,RUNNING
7,1002,RUNNING,READY
7,1001,READY,RUNNING
8,1001,RUNNING,READY
8,1002,READY,RUNNING
9,1002,RUNNING,READY
9,1001,READY,RUNNING
10,1001,RUNNING,READY
10,1003,NEW,READY
10,1002,READY,RUNNING
11,1002,RUNNING,READY
11,1001,READY,RUNNING
12,1001,RUNNING,READY
12,1003,READY,RUNNING
13,1003,RUNNING,READY
13,1002,READY,RUNNING
14,1002,RUNNING,READY
14,1001,READY,RUNNING
15,1001,RUNNING,WAITING
15,1003,READY,RUNNING
16,1003,RUNNING,READY
16,1002,READY,RUNNING
17,1002,RUNNING,WAITING
17,1003,READY,RUNNING
18,1003,RUNNING,READY
18,1003,READY,RUNNING
19,1003,RUNNING,READY
19,1003,READY,RUNNING
20,1003,RUNNING,READY
20,1003,READY,RUNNING
21,1003,RUNNING,READY
21,1003,READY,RUNNING
22,1003,RUNNING,READY
22,1003,READY,RUNNING
23,1003,RUNNING,WAITING
37,1002,WAITING,READY
37,1002,READY,RUNNING
38,1002,RUNNING,READY
38,1002,READY,RUNNING
39,1002,RUNNING,READY
39,1002,READY,RUNNING
40,1002,RUNNING,READY
40,1002,READY,RUNNING
41,1002,RUNNING,READY
41,1002,READY,RUNNING
42,1002,RUNNING,WAITING
45,1001,WAITING,READY
45,1001,READY,RUNNING
46,1001,RUNNING,READY
46,1001,READY,RUNNING
47,1001,RUNNING,READY
47,1001,READY,RUNNING
48,1001,RUNNING,READY
48,1001,READY,RUNNING
49,1001,RUNNING,READY
49,1001,READY,RUNNING
50,1001,RUNNING,READY
50,1001,READY,RUNNING
51,1001,RUNNING,READY
51,1001,READY,RUNNING
52,1001,RUNNING,READY
52,1001,READY,RUNNING
53,1001,RUNNING,READY
53,1001,READY,RUNNING
54,1001,RUNNING,READY
54,1001,READY,RUNNING
55,1001,RUNNING,WAITING
62,1002,WAITING,READY
62,1002,READY,RUNNING
63,1002,RUNNING,READY
63,1003,WAITING,READY
63,1002,READY,RUNNING
64,1002,RUNNING,READY
64,1003,READY,RUNNING
65,1003,RUNNING,READY
65,1002,READY,RUNNING
66,1002,RUNNING,READY
66,1003,READY,RUNNING
67,1003,RUNNING,READY
67,1002,READY,RUNNING
68,1002,RUNNING,READY
68,1003,READY,RUNNING
69,1003,RUNNING,READY
69,1002,READY,RUNNING
70,1002,RUNNING,WAITING
70,1003,READY,RUNNING
71,1003,RUNNING,READY
71,1003,READY,RUNNING
72,1003,RUNNING,READY
72,1003,READY,RUNNING
73,1003,RUNNING,READY
73,1003,READY,RUNNING
74,1003,RUNNING,READY
74,1003,READY,RUNNING
75,1003,RUNNING,WAITING
85,1001,WAITING,READY
85,1001,READY,RUNNING
86,1001,RUNNING,READY
86,1001,READY,RUNNING
87,1001,RUNNING,READY
87,1001,READY,RUNNING
88,1001,RUNNING,READY
88,1001,READY,RUNNING
89,1001,RUNNING,READY
89,1001,READY,RUNNING
90,1001,RUNNING,READY
90,1002,WAITING,READY
90,1001,READY,RUNNING
91,1001,RUNNING,READY
91,1002,READY,RUNNING
92,1002,RUNNING,READY
92,1001,READY,RUNNING
93,1001,RUNNING,READY
93,1002,READY,RUNNING
94,1002,RUNNING,READY
94,1001,READY,RUNNING
95,1001,RUNNING,READY
95,1002,READY,RUNNING
96,1002,RUNNING,READY
96,1001,READY,RUNNING
97,1001,RUNNING,READY
97,1002,READY,RUNNING
98,1002,RUNNING,READY
98,1001,READY,RUNNING
99,1001,RUNNING,WAITING
99,1002,READY,RUNNING
100,1002,RUNNING,WAITING
115,1003,WAITING,READY
115,1003,READY,RUNNING
116,1003,RUNNING,READY
116,1003,READY,RUNNING
117,1003,RUNNING,READY
117,1003,READY,RUNNING
118,1003,RUNNING,READY
118,1003,READY,RUNNING
119,1003,RUNNING,READY
119,1003,READY,RUNNING
120,1003,RUNNING,READY
120,1002,WAITING,READY
120,1003,READY,RUNNING
121,1003,RUNNING,READY
121,1002,READY,RUNNING
122,1002,RUNNING,READY
122,1003,READY,RUNNING
123,1003,RUNNING,READY
123,1002,READY,RUNNING
124,1002,RUNNING,READY
124,1003,READY,RUNNING
125,1003,RUNNING,WAITING
125,1002,READY,RUNNING
126,1002,RUNNING,READY
126,1002,READY,RUNNING
127,1002,RUNNING,READY
127,1002,READY,RUNNING
128,1002,RUNNING,WAITING
129,1001,WAITING,READY
129,1001,READY,RUNNING
130,1001,RUNNING,READY
130,1001,READY,RUNNING
131,1001,RUNNING,READY
131,1001,READY,RUNNING
132,1001,RUNNING,READY
132,1001,READY,RUNNING
133,1001,RUNNING,READY
133,1001,READY,RUNNING
134,1001,RUNNING,READY
134,1001,READY,RUNNING
135,1001,RUNNING,READY
135,1001,READY,RUNNING
136,1001,RUNNING,READY
136,1001,READY,RUNNING
137,1001,RUNNING,READY
137,1001,READY,RUNNING
138,1001,RUNNING,READY
138,1001,READY,RUNNING
139,1001,RUNNING,WAITING
148,1002,WAITING,READY
148,1002,READY,RUNNING
149,1002,RUNNING,READY
149,1002,READY,RUNNING
150,1002,RUNNING,READY
150,1002,READY,RUNNING
151,1002,RUNNING,READY
151,1002,READY,RUNNING
152,1002,RUNNING,READY
152,1002,READY,RUNNING
153,1002,RUNNING,WAITING
165,1003,WAITING,READY
165,1003,READY,RUNNING
166,1003,RUNNING,READY
166,1003,READY,RUNNING
167,1003,RUNNING,READY
167,1003,READY,RUNNING
168,1003,RUNNING,READY
168,1003,READY,RUNNING
169,1003,RUNNING,READY
169,1001,WAITING,READY
169,1003,READY,RUNNING
170,1003,RUNNING,READY
170,1001,READY,RUNNING
171,1001,RUNNING,READY
171,1003,READY,RUNNING
172,1003,RUNNING,TERMINATED
172,1001,READY,RUNNING
173,1001,RUNNING,READY
173,1002,WAITING,READY
173,1001,READY,RUNNING
174,1001,RUNNING,READY
174,1002,READY,RUNNING
175,1002,RUNNING,READY
175,1001,READY,RUNNING
176,1001,RUNNING,READY
176,1002,READY,RUNNING
177,1002,RUNNING,READY
177,1001,READY,RUNNING
178,1001,RUNNING,READY
178,1002,READY,RUNNING
179,1002,RUNNING,READY
179,1001,READY,RUNNING
180,1001,RUNNING,READY
180,1002,READY,RUNNING
181,1002,RUNNING,READY
181,1001,READY,RUNNING
182,1001,RUNNING,READY
182,1002,READY,RUNNING
183,1002,RUNNING,WAITING
183,1001,READY,RUNNING
184,1001,RUNNING,READY
184,1001,READY,RUNNING
185,1001,RUNNING,READY
185,1001,READY,RUNNING
186,1001,RUNNING,TERMINATED
203,1002,WAITING,READY
203,1002,READY,RUNNING
204,1002,RUNNING,READY
204,1002,READY,RUNNING
205,1002,RUNNING,READY
205,1002,READY,RUNNING
206,1002,RUNNING,READY
206,1002,READY,RUNNING
207,1002,RUNNING,READY
207,1002,READY,RUNNING
208,1002,RUNNING,TERMINATED
