Time of transition,PID,Old State,New State
0,1001,NEW,READY
0,1001,READY,RUNNING
10,1002,NEW,READY
15,1001,RUNNING,WAITING
15,1003,NEW,READY
15,1002,READY,RUNNING
25,1002,RUNNING,WAITING
25,1001,WAITING,READY
25,1001,READY,RUNNING
35,1002,WAITING,READY
40,1001,RUNNING,WAITING
40,1002,READY,RUNNING
50,1002,RUNNING,WAITING
50,1001,WAITING,READY
50,1001,READY,RUNNING
60,1002,WAITING,READY
65,1001,RUNNING,WAITING
65,1002,READY,RUNNING
75,1002,RUNNING,WAITING
75,1001,WAITING,READY
75,1001,READY,RUNNING
85,1002,WAITING,READY
90,1001,RUNNING,TERMINATED
90,1002,READY,RUNNING
100,1002,RUNNING,WAITING
100,1003,READY,RUNNING
110,1002,WAITING,READY
125,1003,RUNNING,WAITING
125,1002,READY,RUNNING
135,1002,RUNNING,TERMINATED
135,1003,WAITING,READY
135,1003,READY,RUNNING
140,1003,RUNNING,TERMINATED
