Time of transition,PID,Old State,New State
0,1001,NEW,READY
0,1001,READY,RUNNING
1,1001,RUNNING,READY
1,1001,READY,RUNNING
2,1001,RUNNING,READY
2,1001,READY,RUNNING
3,1001,RUNNING,READY
3,1001,READY,RUNNING
4,1001,RUNNING,READY
4,1001,READY,RUNNING
5,1001,RUNNING,WAITING
5,1002,NEW,READY
5,1002,READY,RUNNING
6,1002,RUNNING,READY
6,1002,READY,RUNNING
7,1002,RUNNING,READY
7,1002,READY,RUNNING
8,1002,RUNNING,READY
8,1002,READY,RUNNING
9,1002,RUNNING,READY
9,1002,READY,RUNNING
10,1002,RUNNING,READY
10,1002,READY,RUNNING
11,1002,RUNNING,READY
11,1002,READY,RUNNING
12,1002,RUNNING,READY
12,1002,READY,RUNNING
13,1002,RUNNING,READY
13,1002,READY,RUNNING
14,1002,RUNNING,READY
14,1002,READY,RUNNING
15,1002,RUNNING,WAITING
15,1001,WAITING,READY
15,1003,NEW,READY
15,1001,READY,RUNNING
16,1001,RUNNING,READY
16,1003,READY,RUNNING
17,1003,RUNNING,READY
17,1001,READY,RUNNING
18,1001,RUNNING,READY
18,1003,READY,RUNNING
19,1003,RUNNING,READY
19,1001,READY,RUNNING
20,1001,RUNNING,READY
20,1003,READY,RUNNING
21,1003,RUNNING,READY
21,1001,READY,RUNNING
22,1001,RUNNING,READY
22,1003,READY,RUNNING
23,1003,RUNNING,READY
23,1001,READY,RUNNING
24,1001,RUNNING,WAITING
24,1003,READY,RUNNING
25,1003,RUNNING,WAITING
34,1001,WAITING,READY
34,1001,READY,RUNNING
35,1001,RUNNING,READY
35,1002,WAITING,READY
35,1003,WAITING,READY
35,1001,READY,RUNNING
36,1001,RUNNING,READY
36,1002,READY,RUNNING
37,1002,RUNNING,READY
37,1003,READY,RUNNING
38,1003,RUNNING,READY
38,1001,READY,RUNNING
39,1001,RUNNING,READY
39,1002,READY,RUNNING
40,1002,RUNNING,READY
40,1003,READY,RUNNING
41,1003,RUNNING,READY
41,1001,READY,RUNNING
42,1001,RUNNING,READY
42,1002,READY,RUNNING
43,1002,RUNNING,READY
43,1003,READY,RUNNING
44,1003,RUNNING,READY
44,1001,READY,RUNNING
45,1001,RUNNING,WAITING
45,1002,READY,RUNNING
46,1002,RUNNING,READY
46,1003,READY,RUNNING
47,1003,RUNNING,READY
47,1002,READY,RUNNING
48,1002,RUNNING,READY
48,1003,READY,RUNNING
49,1003,RUNNING,WAITING
49,1002,READY,RUNNING
50,1002,RUNNING,READY
50,1002,READY,RUNNING
51,1002,RUNNING,READY
51,1002,READY,RUNNING
52,1002,RUNNING,READY
52,1002,READY,RUNNING
53,1002,RUNNING,READY
53,1002,READY,RUNNING
54,1002,RUNNING,WAITING
55,1001,WAITING,READY
55,1001,READY,RUNNING
56,1001,RUNNING,READY
56,1001,READY,RUNNING
57,1001,RUNNING,READY
57,1001,READY,RUNNING
58,1001,RUNNING,READY
58,1001,READY,RUNNING
59,1001,RUNNING,READY
59,1003,WAITING,READY
59,1001,READY,RUNNING
60,1001,RUNNING,WAITING
60,1003,READY,RUNNING
61,1003,RUNNING,READY
61,1003,READY,RUNNING
62,1003,RUNNING,READY
62,1003,READY,RUNNING
63,1003,RUNNING,READY
63,1003,READY,RUNNING
64,1003,RUNNING,READY
64,1003,READY,RUNNING
65,1003,RUNNING,WAITING
70,1001,WAITING,READY
70,1001,READY,RUNNING
71,1001,RUNNING,READY
71,1001,READY,RUNNING
72,1001,RUNNING,READY
72,1001,READY,RUNNING
73,1001,RUNNING,READY
73,1001,READY,RUNNING
74,1001,RUNNING,READY
74,1002,WAITING,READY
74,1001,READY,RUNNING
75,1001,RUNNING,WAITING
75,1003,WAITING,READY
75,1002,READY,RUNNING
76,1002,RUNNING,READY
76,1003,READY,RUNNING
77,1003,RUNNING,READY
77,1002,READY,RUNNING
78,1002,RUNNING,READY
78,1003,READY,RUNNING
79,1003,RUNNING,READY
79,1002,READY,RUNNING
80,1002,RUNNING,READY
80,1003,READY,RUNNING
81,1003,RUNNING,READY
81,1002,READY,RUNNING
82,1002,RUNNING,READY
82,1003,READY,RUNNING
83,1003,RUNNING,READY
83,1002,READY,RUNNING
84,1002,RUNNING,READY
84,1003,READY,RUNNING
85,1003,RUNNING,WAITING
85,1001,WAITING,READY
85,1002,READY,RUNNING
86,1002,RUNNING,READY
86,1001,READY,RUNNING
87,1001,RUNNING,READY
87,1002,READY,RUNNING
88,1002,RUNNING,READY
88,1001,READY,RUNNING
89,1001,RUNNING,READY
89,1002,READY,RUNNING
90,1002,RUNNING,READY
90,1001,READY,RUNNING
91,1001,RUNNING,READY
91,1002,READY,RUNNING
92,1002,RUNNING,READY
92,1001,READY,RUNNING
93,1001,RUNNING,READY
93,1002,READY,RUNNING
94,1002,RUNNING,WAITING
94,1001,READY,RUNNING
95,1001,RUNNING,WAITING
95,1003,WAITING,READY
95,1003,READY,RUNNING
96,1003,RUNNING,READY
96,1003,READY,RUNNING
97,1003,RUNNING,READY
97,1003,READY,RUNNING
98,1003,RUNNING,READY
98,1003,READY,RUNNING
99,1003,RUNNING,READY
99,1003,READY,RUNNING
100,1003,RUNNING,WAITING
105,1001,WAITING,READY
105,1001,READY,RUNNING
106,1001,RUNNING,READY
106,1001,READY,RUNNING
107,1001,RUNNING,READY
107,1001,READY,RUNNING
108,1001,RUNNING,READY
108,1001,READY,RUNNING
109,1001,RUNNING,READY
109,1001,READY,RUNNING
110,1001,RUNNING,WAITING
110,1003,WAITING,READY
110,1003,READY,RUNNING
111,1003,RUNNING,READY
111,1003,READY,RUNNING
112,1003,RUNNING,READY
112,1003,READY,RUNNING
113,1003,RUNNING,READY
113,1003,READY,RUNNING
114,1003,RUNNING,READY
114,1002,WAITING,READY
114,1003,READY,RUNNING
115,1003,RUNNING,TERMINATED
115,1002,READY,RUNNING
116,1002,RUNNING,READY
116,1002,READY,RUNNING
117,1002,RUNNING,READY
117,1002,READY,RUNNING
118,1002,RUNNING,READY
118,1002,READY,RUNNING
119,1002,RUNNING,READY
119,1002,READY,RUNNING
120,1002,RUNNING,READY
120,1001,WAITING,READY
120,1002,READY,RUNNING
121,1002,RUNNING,READY
121,1001,READY,RUNNING
122,1001,RUNNING,READY
122,1002,READY,RUNNING
123,1002,RUNNING,READY
123,1001,READY,RUNNING
124,1001,RUNNING,READY
124,1002,READY,RUNNING
125,1002,RUNNING,READY
125,1001,READY,RUNNING
126,1001,RUNNING,READY
126,1002,READY,RUNNING
127,1002,RUNNING,READY
127,1001,READY,RUNNING
128,1001,RUNNING,READY
128,1002,READY,RUNNING
129,1002,RUNNING,TERMINATED
129,1001,READY,RUNNING
130,1001,RUNNING,WAITING
140,1001,WAITING,READY
140,1001,READY,RUNNING
141,1001,RUNNING,READY
141,1001,READY,RUNNING
142,1001,RUNNING,READY
142,1001,READY,RUNNING
143,1001,RUNNING,READY
143,1001,READY,RUNNING
144,1001,RUNNING,READY
144,1001,READY,RUNNING
145,1001,RUNNING,WAITING
155,1001,WAITING,READY
155,1001,READY,RUNNING
156,1001,RUNNING,READY
156,1001,READY,RUNNING
157,1001,RUNNING,READY
157,1001,READY,RUNNING
158,1001,RUNNING,READY
158,1001,READY,RUNNING
159,1001,RUNNING,READY
159,1001,READY,RUNNING
160,1001,RUNNING,WAITING
170,1001,WAITING,READY
170,1001,READY,RUNNING
171,1001,RUNNING,READY
171,1001,READY,RUNNING
172,1001,RUNNING,READY
172,1001,READY,RUNNING
173,1001,RUNNING,READY
173,1001,READY,RUNNING
174,1001,RUNNING,READY
174,1001,READY,RUNNING
175,1001,RUNNING,WAITING
185,1001,WAITING,READY
185,1001,READY,RUNNING
186,1001,RUNNING,READY
186,1001,READY,RUNNING
