Time of transition,PID,Old State,New State
0,1001,NEW,READY
0,1001,READY,RUNNING
1,1001,RUNNING,READY
1,1001,READY,RUNNING
2,1001,RUNNING,READY
2,1001,READY,RUNNING
3,1001,RUNNING,READY
3,1001,READY,RUNNING
4,1001,RUNNING,READY
4,1001,READY,RUNNING
5,1001,RUNNING,READY
5,1002,NEW,READY
5,1001,READY,RUNNING
6,1001,RUNNING,READY
6,1002,READY,RUNNING
7,1002,RUNNING,READY
7,1001,READY,RUNNING
8,1001,RUNNING,READY
8,1002,READY,RUNNING
9,1002,RUNNING,READY
9,1001,READY,RUNNING
10,1001,RUNNING,READY
10,1002,READY,RUNNING
11,1002,RUNNING,READY
11,1001,READY,RUNNING
12,1001,RUNNING,READY
12,1002,READY,RUNNING
13,1002,RUNNING,READY
13,1001,READY,RUNNING
14,1001,RUNNING,WAITING
14,1002,READY,RUNNING
15,1002,RUNNING,READY
15,1003,NEW,READY
15,1002,READY,RUNNING
16,1002,RUNNING,READY
16,1003,READY,RUNNING
17,1003,RUNNING,READY
17,1002,READY,RUNNING
18,1002,RUNNING,READY
18,1003,READY,RUNNING
19,1003,RUNNING,READY
19,1001,WAITING,READY
19,1002,READY,RUNNING
20,1002,RUNNING,READY
20,1003,READY,RUNNING
21,1003,RUNNING,READY
21,1001,READY,RUNNING
22,1001,RUNNING,READY
22,1002,READY,RUNNING
23,1002,RUNNING,READY
23,1003,READY,RUNNING
24,1003,RUNNING,READY
24,1001,READY,RUNNING
25,1001,RUNNING,READY
25,1002,READY,RUNNING
26,1002,RUNNING,WAITING
26,1003,READY,RUNNING
27,1003,RUNNING,READY
27,1001,READY,RUNNING
28,1001,RUNNING,READY
28,1003,READY,RUNNING
29,1003,RUNNING,READY
29,1001,READY,RUNNING
30,1001,RUNNING,READY
30,1003,READY,RUNNING
31,1003,RUNNING,READY
31,1002,WAITING,READY
31,1001,READY,RUNNING
32,1001,RUNNING,READY
32,1003,READY,RUNNING
33,1003,RUNNING,READY
33,1002,READY,RUNNING
34,1002,RUNNING,READY
34,1001,READY,RUNNING
35,1001,RUNNING,READY
35,1003,READY,RUNNING
36,1003,RUNNING,READY
36,1002,READY,RUNNING
37,1002,RUNNING,READY
37,1001,READY,RUNNING
38,1001,RUNNING,READY
38,1003,READY,RUNNING
39,1003,RUNNING,WAITING
39,1002,READY,RUNNING
40,1002,RUNNING,READY
40,1001,READY,RUNNING
41,1001,RUNNING,READY
41,1002,READY,RUNNING
42,1002,RUNNING,READY
42,1001,READY,RUNNING
43,1001,RUNNING,READY
43,1002,READY,RUNNING
44,1002,RUNNING,READY
44,1003,WAITING,READY
44,1001,READY,RUNNING
45,1001,RUNNING,WAITING
45,1002,READY,RUNNING
46,1002,RUNNING,READY
46,1003,READY,RUNNING
47,1003,RUNNING,READY
47,1002,READY,RUNNING
48,1002,RUNNING,READY
48,1003,READY,RUNNING
49,1003,RUNNING,READY
49,1002,READY,RUNNING
50,1002,RUNNING,READY
50,1001,WAITING,READY
50,1003,READY,RUNNING
51,1003,RUNNING,READY
51,1002,READY,RUNNING
52,1002,RUNNING,READY
52,1001,READY,RUNNING
53,1001,RUNNING,READY
53,1003,READY,RUNNING
54,1003,RUNNING,READY
54,1002,READY,RUNNING
55,1002,RUNNING,WAITING
55,1001,READY,RUNNING
56,1001,RUNNING,READY
56,1003,READY,RUNNING
57,1003,RUNNING,READY
57,1001,READY,RUNNING
58,1001,RUNNING,READY
58,1003,READY,RUNNING
59,1003,RUNNING,READY
59,1001,READY,RUNNING
60,1001,RUNNING,READY
60,1002,WAITING,READY
60,1003,READY,RUNNING
61,1003,RUNNING,READY
61,1001,READY,RUNNING
62,1001,RUNNING,READY
62,1002,READY,RUNNING
63,1002,RUNNING,READY
63,1003,READY,RUNNING
64,1003,RUNNING,READY
64,1001,READY,RUNNING
65,1001,RUNNING,READY
65,1002,READY,RUNNING
66,1002,RUNNING,READY
66,1003,READY,RUNNING
67,1003,RUNNING,READY
67,1001,READY,RUNNING
68,1001,RUNNING,READY
68,1002,READY,RUNNING
69,1002,RUNNING,READY
69,1003,READY,RUNNING
70,1003,RUNNING,WAITING
70,1001,READY,RUNNING
71,1001,RUNNING,READY
71,1002,READY,RUNNING
72,1002,RUNNING,READY
72,1001,READY,RUNNING
73,1001,RUNNING,READY
73,1002,READY,RUNNING
74,1002,RUNNING,READY
74,1001,READY,RUNNING
75,1001,RUNNING,TERMINATED
75,1003,WAITING,READY
75,1002,READY,RUNNING
76,1002,RUNNING,READY
76,1003,READY,RUNNING
77,1003,RUNNING,READY
77,1002,READY,RUNNING
78,1002,RUNNING,READY
78,1003,READY,RUNNING
79,1003,RUNNING,READY
79,1002,READY,RUNNING
80,1002,RUNNING,READY
80,1003,READY,RUNNING
81,1003,RUNNING,READY
81,1002,READY,RUNNING
82,1002,RUNNING,READY
82,1003,READY,RUNNING
83,1003,RUNNING,READY
83,1002,READY,RUNNING
84,1002,RUNNING,WAITING
84,1003,READY,RUNNING
85,1003,RUNNING,READY
85,1003,READY,RUNNING
86,1003,RUNNING,READY
86,1003,READY,RUNNING
87,1003,RUNNING,READY
87,1003,READY,RUNNING
88,1003,RUNNING,READY
88,1003,READY,RUNNING
89,1003,RUNNING,READY
89,1002,WAITING,READY
89,1003,READY,RUNNING
90,1003,RUNNING,WAITING
90,1002,READY,RUNNING
91,1002,RUNNING,READY
91,1002,READY,RUNNING
92,1002,RUNNING,READY
92,1002,READY,RUNNING
93,1002,RUNNING,READY
93,1002,READY,RUNNING
94,1002,RUNNING,READY
94,1002,READY,RUNNING
95,1002,RUNNING,READY
95,1003,WAITING,READY
95,1002,READY,RUNNING
96,1002,RUNNING,READY
96,1003,READY,RUNNING
97,1003,RUNNING,READY
97,1002,READY,RUNNING
98,1002,RUNNING,READY
98,1003,READY,RUNNING
99,1003,RUNNING,READY
99,1002,READY,RUNNING
100,1002,RUNNING,READY
100,1003,READY,RUNNING
101,1003,RUNNING,READY
101,1002,READY,RUNNING
102,1002,RUNNING,READY
102,1003,READY,RUNNING
103,1003,RUNNING,READY
103,1002,READY,RUNNING
104,1002,RUNNING,TERMINATED
104,1003,READY,RUNNING
105,1003,RUNNING,READY
105,1003,READY,RUNNING
106,1003,RUNNING,READY
106,1003,READY,RUNNING
107,1003,RUNNING,READY
107,1003,READY,RUNNING
108,1003,RUNNING,READY
108,1003,READY,RUNNING
109,1003,RUNNING,READY
109,1003,READY,RUNNING
110,1003,RUNNING,WAITING
115,1003,WAITING,READY
115,1003,READY,RUNNING
116,1003,RUNNING,READY
116,1003,READY,RUNNING
117,1003,RUNNING,READY
117,1003,READY,RUNNING
118,1003,RUNNING,READY
118,1003,READY,RUNNING
119,1003,RUNNING,READY
119,1003,READY,RUNNING
120,1003,RUNNING,READY
120,1003,READY,RUNNING
121,1003,RUNNING,READY
121,1003,READY,RUNNING
122,1003,RUNNING,READY
122,1003,READY,RUNNING
123,1003,RUNNING,READY
123,1003,READY,RUNNING
124,1003,RUNNING,READY
124,1003,READY,RUNNING
125,1003,RUNNING,TERMINATED
