Time of transition,PID,Old State,New State
0,1001,NEW,READY
0,1001,READY,RUNNING
5,1001,RUNNING,WAITING
15,1001,WAITING,READY
15,1001,READY,RUNNING
20,1001,RUNNING,WAITING
30,1001,WAITING,READY
30,1001,READY,RUNNING
35,1001,RUNNING,WAITING
45,1001,WAITING,READY
45,1001,READY,RUNNING
50,1001,RUNNING,WAITING
50,1002,NEW,READY
50,1002,READY,RUNNING
55,1002,RUNNING,WAITING
60,1001,WAITING,READY
60,1001,READY,RUNNING
65,1001,RUNNING,WAITING
65,1002,WAITING,READY
65,1002,READY,RUNNING
70,1002,RUNNING,WAITING
75,1001,WAITING,READY
75,1001,READY,RUNNING
80,1001,RUNNING,WAITING
80,1002,WAITING,READY
80,1002,READY,RUNNING
85,1002,RUNNING,WAITING
90,1001,WAITING,READY
90,1001,READY,RUNNING
95,1001,RUNNING,WAITING
95,1002,WAITING,READY
95,1002,READY,RUNNING
100,1002,RUNNING,WAITING
100,1003,NEW,READY
100,1003,READY,RUNNING
105,1003,RUNNING,WAITING
105,1001,WAITING,READY
105,1001,READY,RUNNING
110,1001,RUNNING,WAITING
110,1002,WAITING,READY
110,1002,READY,RUNNING
115,1002,RUNNING,WAITING
115,1003,WAITING,READY
115,1003,READY,RUNNING
120,1003,RUNNING,WAITING
120,1001,WAITING,READY
120,1001,READY,RUNNING
125,1001,RUNNING,WAITING
125,1002,WAITING,READY
125,1002,READY,RUNNING
130,1002,RUNNING,WAITING
130,1003,WAITING,READY
130,1003,READY,RUNNING
135,1003,RUNNING,WAITING
135,1001,WAITING,READY
135,1001,READY,RUNNING
140,1001,RUNNING,WAITING
140,1002,WAITING,READY
140,1002,READY,RUNNING
145,1002,RUNNING,WAITING
145,1003,WAITING,READY
145,1003,READY,RUNNING
150,1003,RUNNING,WAITING
150,1001,WAITING,READY
150,1001,READY,RUNNING
155,1001,RUNNING,WAITING
155,1002,WAITING,READY
155,1002,READY,RUNNING
160,1002,RUNNING,WAITING
160,1003,WAITING,READY
160,1003,READY,RUNNING
165,1003,RUNNING,WAITING
165,1001,WAITING,READY
165,1001,READY,RUNNING
170,1001,RUNNING,WAITING
170,1002,WAITING,READY
170,1002,READY,RUNNING
175,1002,RUNNING,WAITING
175,1003,WAITING,READY
175,1003,READY,RUNNING
180,1003,RUNNING,WAITING
180,1001,WAITING,READY
180,1001,READY,RUNNING
185,1001,RUNNING,WAITING
185,1002,WAITING,READY
185,1002,READY,RUNNING
190,1002,RUNNING,WAITING
190,1003,WAITING,READY
190,1003,READY,RUNNING
195,1003,RUNNING,WAITING
195,1001,WAITING,READY
195,1001,READY,RUNNING
200,1001,RUNNING,WAITING
200,1002,WAITING,READY
200,1002,READY,RUNNING
205,1002,RUNNING,WAITING
205,1003,WAITING,READY
205,1003,READY,RUNNING
210,1003,RUNNING,WAITING
210,1001,WAITING,READY
210,1001,READY,RUNNING
215,1001,RUNNING,WAITING
215,1002,WAITING,READY
215,1002,READY,RUNNING
220,1002,RUNNING,WAITING
220,1003,WAITING,READY
220,1003,READY,RUNNING
225,1003,RUNNING,WAITING
225,1001,WAITING,READY
225,1001,READY,RUNNING
230,1001,RUNNING,WAITING
230,1002,WAITING,READY
230,1002,READY,RUNNING
235,1002,RUNNING,WAITING
235,1003,WAITING,READY
235,1003,READY,RUNNING
240,1003,RUNNING,WAITING
240,1001,WAITING,READY
240,1001,READY,RUNNING
245,1001,RUNNING,WAITING
245,1002,WAITING,READY
245,1002,READY,RUNNING
250,1002,RUNNING,WAITING
250,1003,WAITING,READY
250,1003,READY,RUNNING
255,1003,RUNNING,WAITING
255,1001,WAITING,READY
255,1001,READY,RUNNING
260,1001,RUNNING,WAITING
260,1002,WAITING,READY
260,1002,READY,RUNNING
265,1002,RUNNING,WAITING
265,1003,WAITING,READY
265,1003,READY,RUNNING
270,1003,RUNNING,WAITING
270,1001,WAITING,READY
270,1001,READY,RUNNING
275,1001,RUNNING,WAITING
275,1002,WAITING,READY
275,1002,READY,RUNNING
280,1002,RUNNING,WAITING
280,1003,WAITING,READY
280,1003,READY,RUNNING
285,1003,RUNNING,WAITING
285,1001,WAITING,READY
285,1001,READY,RUNNING
290,1001,RUNNING,WAITING
290,1002,WAITING,READY
290,1002,READY,RUNNING
295,1002,RUNNING,WAITING
295,1003,WAITING,READY
295,1003,READY,RUNNING
300,1003,RUNNING,WAITING
300,1001,WAITING,READY
300,1001,READY,RUNNING
305,1001,RUNNING,WAITING
305,1002,WAITING,READY
305,1002,READY,RUNNING
310,1002,RUNNING,WAITING
310,1003,WAITING,READY
310,1003,READY,RUNNING
315,1003,RUNNING,WAITING
315,1001,WAITING,READY
315,1001,READY,RUNNING
320,1001,RUNNING,WAITING
320,1002,WAITING,READY
320,1002,READY,RUNNING
325,1002,RUNNING,WAITING
325,1003,WAITING,READY
325,1003,READY,RUNNING
330,1003,RUNNING,WAITING
330,1001,WAITING,READY
330,1001,READY,RUNNING
335,1001,RUNNING,WAITING
335,1002,WAITING,READY
335,1002,READY,RUNNING
340,1002,RUNNING,WAITING
340,1003,WAITING,READY
340,1003,READY,RUNNING
345,1003,RUNNING,WAITING
345,1001,WAITING,READY
345,1001,READY,RUNNING
350,1001,RUNNING,WAITING
350,1002,WAITING,READY
350,1002,READY,RUNNING
355,1002,RUNNING,WAITING
355,1003,WAITING,READY
355,1003,READY,RUNNING
360,1003,RUNNING,WAITING
360,1001,WAITING,READY
360,1001,READY,RUNNING
365,1001,RUNNING,WAITING
365,1002,WAITING,READY
365,1002,READY,RUNNING
370,1002,RUNNING,WAITING
370,1003,WAITING,READY
370,1003,READY,RUNNING
375,1003,RUNNING,WAITING
375,1001,WAITING,READY
375,1001,READY,RUNNING
380,1001,RUNNING,WAITING
380,1002,WAITING,READY
380,1002,READY,RUNNING
385,1002,RUNNING,WAITING
385,1003,WAITING,READY
385,1003,READY,RUNNING
390,1003,RUNNING,WAITING
390,1001,WAITING,READY
390,1001,READY,RUNNING
395,1001,RUNNING,WAITING
395,1002,WAITING,READY
395,1002,READY,RUNNING
400,1002,RUNNING,WAITING
400,1003,WAITING,READY
400,1003,READY,RUNNING
405,1003,RUNNING,WAITING
405,1001,WAITING,READY
405,1001,READY,RUNNING
410,1001,RUNNING,WAITING
410,1002,WAITING,READY
410,1002,READY,RUNNING
415,1002,RUNNING,WAITING
415,1003,WAITING,READY
415,1003,READY,RUNNING
420,1003,RUNNING,WAITING
420,1001,WAITING,READY
420,1001,READY,RUNNING
425,1001,RUNNING,WAITING
425,1002,WAITING,READY
425,1002,READY,RUNNING
430,1002,RUNNING,WAITING
430,1003,WAITING,READY
430,1003,READY,RUNNING
435,1003,RUNNING,WAITING
435,1001,WAITING,READY
435,1001,READY,RUNNING
440,1001,RUNNING,TERMINATED
440,1002,WAITING,READY
440,1002,READY,RUNNING
445,1002,RUNNING,WAITING
445,1003,WAITING,READY
445,1003,READY,RUNNING
450,1003,RUNNING,WAITING
455,1002,WAITING,READY
455,1002,READY,RUNNING
460,1002,RUNNING,WAITING
460,1003,WAITING,READY
460,1003,READY,RUNNING
465,1003,RUNNING,WAITING
470,1002,WAITING,READY
470,1002,READY,RUNNING
475,1002,RUNNING,WAITING
475,1003,WAITING,READY
475,1003,READY,RUNNING
480,1003,RUNNING,WAITING
485,1002,WAITING,READY
485,1002,READY,RUNNING
490,1002,RUNNING,WAITING
490,1003,WAITING,READY
490,1003,READY,RUNNING
495,1003,RUNNING,WAITING
500,1002,WAITING,READY
500,1002,READY,RUNNING
505,1002,RUNNING,WAITING
505,1003,WAITING,READY
505,1003,READY,RUNNING
510,1003,RUNNING,WAITING
515,1002,WAITING,READY
515,1002,READY,RUNNING
520,1002,RUNNING,WAITING
